coord,weather,base,main,wind,rain,clouds,dt,sys,timezone,id,name,cod
"{'lon': -100.35, 'lat': 18.62}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",model,"{'temp': 74.77, 'pressure': 1016, 'humidity': 90, 'temp_min': 74.77, 'temp_max': 74.77, 'sea_level': 1016, 'grnd_level': 952}","{'speed': 1.36, 'deg': 160}",,{'all': 64},1571760386,"{'country': 'MX', 'sunrise': 1571747834, 'sunset': 1571789653}",-18000,3981460,Coahuayana,200
"{'lon': 24.66, 'lat': 14.2}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",model,"{'temp': 87.87, 'pressure': 1006, 'humidity': 24, 'temp_min': 87.87, 'temp_max': 87.87, 'sea_level': 1006, 'grnd_level': 880}","{'speed': 13.29, 'deg': 79}",,{'all': 17},1571760387,"{'country': 'SD', 'sunrise': 1571717607, 'sunset': 1571759882}",7200,371745,Kutum,200
"{'lon': 125.28, 'lat': 24.8}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 77.41, 'pressure': 1012, 'humidity': 73, 'temp_min': 77.41, 'temp_max': 77.41, 'sea_level': 1012, 'grnd_level': 1011}","{'speed': 3.44, 'deg': 326}",,{'all': 0},1571760387,"{'country': 'JP', 'sunrise': 1571780422, 'sunset': 1571821557}",32400,1862505,Hirara,200
"{'lon': -1.75, 'lat': 4.89}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 80.65, 'pressure': 1007, 'humidity': 80, 'temp_min': 80.65, 'temp_max': 80.65, 'sea_level': 1007, 'grnd_level': 1006}","{'speed': 13.8, 'deg': 204}",,{'all': 5},1571760388,"{'country': 'GH', 'sunrise': 1571723506, 'sunset': 1571766658}",0,2294915,Takoradi,200
"{'lon': 39.51, 'lat': 68.05}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 28.2, 'pressure': 996, 'humidity': 89, 'temp_min': 28.2, 'temp_max': 28.2, 'sea_level': 996, 'grnd_level': 978}","{'speed': 16.46, 'deg': 216}",,{'all': 100},1571760389,"{'country': 'RU', 'sunrise': 1571719826, 'sunset': 1571750535}",10800,556268,Ostrovnoy,200
"{'lon': 96.14, 'lat': 20.43}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 76.71, 'pressure': 1010, 'humidity': 83, 'temp_min': 76.71, 'temp_max': 76.71, 'sea_level': 1010, 'grnd_level': 981}","{'speed': 6.11, 'deg': 151}",,{'all': 0},1571760391,"{'country': 'MM', 'sunrise': 1571700757, 'sunset': 1571742425}",23400,1285899,Yamethin,200
"{'lon': 104.73, 'lat': 16.94}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 79.14, 'pressure': 1009, 'humidity': 66, 'temp_min': 79.14, 'temp_max': 79.14, 'sea_level': 1009, 'grnd_level': 987}","{'speed': 5.23, 'deg': 227}",,{'all': 92},1571760391,"{'country': 'TH', 'sunrise': 1571698520, 'sunset': 1571740539}",25200,1605483,That Phanom,200
"{'lon': 138.93, 'lat': 34.7}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 56.05, 'pressure': 1012, 'humidity': 94, 'temp_min': 54, 'temp_max': 57.99}","{'speed': 16.51, 'deg': 26}",,{'all': 60},1571760392,"{'type': 3, 'id': 2019346, 'country': 'JP', 'sunrise': 1571777750, 'sunset': 1571817678}",32400,1852357,Shimoda,200
"{'lon': 120.46, 'lat': -8.61}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 66.83, 'pressure': 1011, 'humidity': 75, 'temp_min': 66.83, 'temp_max': 66.83, 'sea_level': 1011, 'grnd_level': 928}","{'speed': 4.47, 'deg': 174}",,{'all': 40},1571760393,"{'country': 'ID', 'sunrise': 1571779929, 'sunset': 1571824363}",28800,1629380,Ruteng,200
"{'lon': 25.21, 'lat': 0.52}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 80.73, 'pressure': 1006, 'humidity': 72, 'temp_min': 80.73, 'temp_max': 80.73, 'sea_level': 1006, 'grnd_level': 956}","{'speed': 2.44, 'deg': 298}",{'3h': 1.25},{'all': 63},1571760393,"{'country': 'CD', 'sunrise': 1571716834, 'sunset': 1571760391}",7200,212730,Kisangani,200
